IBGE;q19_3;q19_8;q19_9;q19_10;q19_11;q19_12;q19_13;UF;Regiao;Q_incompleto;DataCenso;DataCenso_2023;Faixas_etarias;d19_8;d19_8bin1;d19_8bin2;d19_8bin3;d19_9;d19_9bin1;d19_9bin2;d19_9bin3;d19_9bin4;d19_9bin5;d19_10;d19_10bin1;d19_10bin2;d19_10bin3;d19_10bin4;d19_8bin1_sum;d19_8bin2_sum;d19_8bin3_sum;d19_9bin1_sum;d19_9bin2_sum;d19_9bin3_sum;d19_9bin4_sum;d19_9bin5_sum;d19_10bin1_sum;d19_10bin2_sum;d19_10bin3_sum;d19_10bin4_sum;nu_trabalhador
11;0; Ensino Superior Completo; Economista; Comissionado (a); Técnico(a) de nível superior; De 31 a 40 horas semanais;02/01/2015;Rondonia;Região Norte;completo;31.08.2023;8/31/2023;30 a 40 anos;Nível Superior; ; ;Nível Superior;Outro profissional de nivel superior; ; ; ; ; ;Comissionado; ; ;Comissionado; ;0;0;2;0;0;0;1;0;0;0;2;0;2
11;0; Ensino Superior Completo; Advogado (a); Comissionado (a); Técnico(a) de nível superior; De 21 a 30 horas semanais;08/09/2021;Rondonia;Região Norte;incompleto;31.08.2023;8/31/2023;18 a 29 anos;Nível Superior; ; ;Nível Superior;Advogado; ; ; ;Advogado; ;Comissionado; ; ;Comissionado; ;0;0;2;0;0;0;1;0;0;0;2;0;2
12;0; Ensino Médio Completo; Profissional de nível médio; Servidor/Estatutário (a); Técnico(a) de nível Médio; De 31 a 40 horas semanais; ;Acre;Região Norte;2;31.08.2023;8/31/2023;51 a 60 anos;Nível Médio; ;Nível Médio; ;Profissional de nível médio; ; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;0;1;3;1;1;0;0;0;3;0;1;0;4
12;0; Especialização; Outro(a) profissional de nível superior; Comissionado (a); Ordenador(a) de Despesas; Mais de 44 horas semanais;10/10/2023;Acre;Região Norte;4;31.08.2023;8/31/2023;51 a 60 anos;Nível Superior; ; ;Nível Superior;Outro profissional de nivel superior; ; ; ; ; ;Comissionado; ; ;Comissionado; ;0;1;3;1;1;0;0;0;3;0;1;0;4
12;0; Especialização; Pedagogo (a); Servidor/Estatutário (a); Coordenador(a); De 31 a 40 horas semanais; ;Acre;Região Norte;5;31.08.2023;8/31/2023;51 a 60 anos;Nível Superior; ; ;Nível Superior;Pedagogo;Pedagogo; ; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;0;1;3;1;1;0;0;0;3;0;1;0;4
12;0; Especialização; Assistente Social; Servidor/Estatutário (a); Técnico(a) de nível superior; De 31 a 40 horas semanais; ;Acre;Região Norte;3;31.08.2023;8/31/2023;41 a 50 anos;Nível Superior; ; ;Nível Superior;Assistente Social; ;Assistente Social; ; ; ;Servidor Estatutário;Servidor Estatutário; ; ; ;0;1;3;1;1;0;0;0;3;0;1;0;4
13; Masculino; Ensino Superior Completo; Administrador (a); Comissionado (a); Técnico(a) de nível superior; De 31 a 40 horas semanais; ;Amazonas;Região Norte;7;31.08.2023;8/31/2023;41 a 50 anos;Nível Superior; ; ;Nível Superior;Outro profissional de nivel superior; ; ; ; ; ;Comissionado; ; ;Comissionado; ;0;0;2;0;0;0;0;0;0;1;1;0;2
13;0; Ensino Superior Completo; Administrador (a); Empregado (a) Público (a) Celetista (CLT); Técnico(a) de nível Médio; De 31 a 40 horas semanais; ;Amazonas;Região Norte;6;31.08.2023;8/31/2023;30 a 40 anos;Nível Superior; ; ;Nível Superior;Outro profissional de nivel superior; ; ; ; ; ;Empregado Público (CLT); ;Empregado Público (CLT); ; ;0;0;2;0;0;0;0;0;0;1;1;0;2
14; Masculino; Ensino Superior Completo; Outro(a) profissional de nível superior; Empregado (a) Público (a) Celetista (CLT); Técnico(a) de nível superior; De 31 a 40 horas semanais; ;Roraima;Região Norte;10;31.08.2023;8/31/2023;30 a 40 anos;Nível Superior; ; ;Nível Superior;Outro profissional de nivel superior; ; ; ; ; ;Empregado Público (CLT); ;Empregado Público (CLT); ; ;0;1;6;0;1;0;0;1;2;1;4;0;7
14; Masculino; Ensino Superior Completo; Outro(a) profissional de nível superior; Comissionado (a); Técnico(a) de nível superior; De 31 a 40 horas semanais; ;Roraima;Região Norte;14;31.08.2023;8/31/2023;30 a 40 anos;Nível Superior; ; ;Nível Superior;Outro profissional de nivel superior; ; ; ; ; ;Comissionado; ; ;Comissionado; ;0;1;6;0;1;0;0;1;2;1;4;0;7
14;0; Ensino Superior Incompleto; Psicólogo (a); Comissionado (a); Técnico(a) de nível superior; De 31 a 40 horas semanais; ;Roraima;Região Norte;8;31.08.2023;8/31/2023;Mais de 60 anos;Nível Médio; ;Nível Médio; ;Psicólogo; ; ; ; ;Psicólogo;Comissionado; ; ;Comissionado; ;0;1;6;0;1;0;0;1;2;1;4;0;7
14;0; Ensino Superior Completo; Profissional de nível médio; Comissionado (a); Coordenador(a); De 31 a 40 horas semanais; ;Roraima;Região Norte;11;31.08.2023;8/31/2023;41 a 50 anos;Nível Superior; ; ;Nível Superior;Profissional de nível médio; ; ; ; ; ;Comissionado; ; ;Comissionado; ;0;1;6;0;1;0;0;1;2;1;4;0;7
