Código;Nome;
IBGE;codigo_ibge_IBGE;
IBGE7 ;IBGE7_codigo IBGE com 7 digitos;
UF ;Nome_UF_UF;
Regiao;Regiao_Região;
Município ;Município_Município;
Pop_total_2010;Pop_total_2010_Pop_total_2010;
Pop_Urbana2010;Pop_Urbana2010_Pop_Urbana2010;
Pop_Rural2010;Pop_Rural2010_Pop_Rural2010;
Porte_pop2010;Porte_pop2010_Porte_pop2010;
areaKm2 ;area Km2_area Km2;
NU_IDENTIFICADOR;id_cras_NU_IDENTIFICADOR;
q_57_2 ;q_57_2_v10484_Data de nascimento;
q_57_3 ;q_57_3_v10485_Sexo;
q_57_9 ;q_57_9_v10491_Escolaridade;
q_57_10 ;q_57_10_v10492_Profissão;
q_57_11 ;q_57_11_v10493_Vínculo;
q_57_12 ;q_57_12_v10494_Função;
q_57_13 ;q_57_13_v10495_Carga horária SEMANAL;
q_57_14 ;q_57_14_v10496_Início do exercício da função;
q_57_15 ;q_57_15_v10498_Serviços/Atividade a qual o profissional está vinculado - Principal serviço/atividade;
q_57_16 ;q_57_16v11876_Serviços/Atividade a qual o profissional está vinculado - Segundo principal serviço/atividade;
q_57_17 ;q_57_17v10499_Serviços/Atividade a qual o profissional está vinculado - Terceiro principal serviço/atividade;
Q_completo ;Q_completo _Q_completo _questionarios completos;.
Idade;Idade;
Faixas_etarias;Faixa Etária;
d_57_9;d_57_9_Escolaridade;
d_57_9bin1;d_57_9bin1_Escolaridade;
d_57_9bin2;d_57_9bin2_Escolaridade;
d_57_9bin3;d_57_9bin3_Escolaridade;
d_57_10;d_57_10_Profissão;
d_57_10bin1;d_57_10bin1_Profissão;
d_57_10bin2;d_57_10bin2_Profissão;
d_57_10bin3;d_57_10bin3_Profissão;
d_57_10bin4;d_57_10bin4_Profissão;
d_57_10bin5;d_57_10bin5_Profissão;
d_57_11;d_57_11_Vínculo;
d_57_11bin1;d_57_11bin1_Vínculo;
d_57_11bin2;d_57_11bin2_Vínculo;
d_57_11bin3;d_57_11bin3_Vínculo;
d_57_11bin4;d_57_11bin4_Vínculo;
d_57_9bin1_sum;d_57_9bin1_Número de trabalhadores de Nível fundamental (inclui trabalhadores sem escolaridade, fundamental incompleto e ensino médio incompleto);
d_57_9bin2_sum;d_57_9bin2_Número de trabalhadores de Nível médio (inclui trabalhadores com ensino superior incompleto);
d_57_9bin3_sum;d_57_9bin3_Número de trabalhadores de Nível superior (inclui trabalhadores com especialização, mestrado e doutorado);
d_57_10bin1_sum;d_57_10bin1_Número de Pedagogos;
d_57_10bin2_sum;d_57_10bin2_Número de Assistentes Sociais;
d_57_10bin3_sum;d_57_10bin3_Número de Antropólogos;
d_57_10bin4_sum;d_57_10bin4_Número de Advogados;
d_57_10bin5_sum;d_57_10bin5_Número de Psicólogos;
d_57_11bin1_sum;d_57_11bin1_Número de Servidores Estatutários;
d_57_11bin2_sum;d_57_11bin2_Número de Empregados Públicos(CLT);
d_57_11bin3_sum;d_57_11bin3_Número de Comissionados;
d_57_11bin4_sum;d_57_11bin4_Número de profissionais com outros vínculos não permanentes;
nu_trabalhador;Número de trabalhadores no CRAS;
d_57_15_1bin_Gestão;d_57_15_1bin_Gestão - Principal serviço/atividade;
d_57_15_1bin_PAIF;d_57_15_1bin_PAIF - Principal serviço/atividade;
d_57_15_1bin_SCFV;d_57_15_1bin_SCFV - Principal serviço/atividade;
d_57_15_1bin_PSB; d_57_15_1bin_PSB- Principal serviço/atividade;
d_57_15_1bin_Cadastramento;d_57_15_1bin_Cadastramento - Principal serviço/atividade;
d_57_15_1bin_Beneficios;d_57_15_1bin_Beneficios - Principal serviço/atividade;
d_57_15_1bin_PCF;d_57_15_1bin_PCF - Principal serviço/atividade;
d_57_15_1bin_Outros;d_57_15_1bin_Outros - Principal serviço/atividade;
d_57_16_2bin_Gestão;d_57_16_2bin_Gestão - Principal serviço/atividade;
d_57_16_2bin_PAIF;d_57_16_2bin_PAIF - Principal serviço/atividade;
d_57_16_2bin_SCFV;d_57_16_2bin_SCFV - Principal serviço/atividade;
d_57_16_2bin_PSB; d_57_16_2bin_PSB- Principal serviço/atividade;
d_57_16_2bin_Cadastramento;d_57_16_2bin_Cadastramento - Principal serviço/atividade;
d_57_16_2bin_Beneficios;d_57_16_2bin_Beneficios - Principal serviço/atividade;
d_57_16_2bin_PCF;d_57_16_2bin_PCF - Principal serviço/atividade;
d_57_16_2bin_Outros;d_57_16_2bin_Outros - Principal serviço/atividade;
d_57_17_3bin_Gestão;d_57_17_3bin_Gestão - Principal serviço/atividade;
d_57_17_3bin_PAIF;d_57_17_3bin_PAIF - Principal serviço/atividade;
d_57_17_3bin_SCFV;d_57_17_3bin_SCFV- Principal serviço/atividade;
d_57_17_3bin_PSB; d_57_17_3bin_PSB- Principal serviço/atividade;
d_57_17_3bin_Cadastramento;d_57_17_3bin_Cadastramento - Principal serviço/atividade;
d_57_17_3bin_Beneficios;d_57_17_3bin_Beneficios - Principal serviço/atividade;
d_57_17_3bin_PCF;d_57_17_3bin_PCF - Principal serviço/atividade;
d_57_17_3bin_Outros;d_57_17_3bin_Outros - Principal serviço/atividade;
Gestao;Atividades de Gestão - mencionada, no minimo, 1 vez;
PAIF;PAIF - mencionado, no mínimo, 1 vez;
SCFV;SCFV - mencionado, no mínimo, 1 vez;
PSB;PSB no domicilio - mencionada, no mínimo, 1 vez;
Cadastramento;Cadastramento e/ou atualização cadastral (CadÚnico) -  mencionado, no mínimo, 1 vez;
Beneficios;Beneficios eventuais - mencionado, no mínimo, 1 vez;
PCF;Programa Criança Feliz - mencionado, no mínimo, 1 vez;
Outros;Outras atividades - mencionadas, no mínimo, 1 vez;
d_57_15_1bin_Gestão_sum;d_57_15_1bin_Gestão - Principal serviço/atividade;
d_57_15_1bin_PAIF_sum;d_57_15_1bin_PAIF - Principal serviço/atividade;
d_57_15_1bin_SCFV_sum;d_57_15_1bin_SCFV - Principal serviço/atividade;
d_57_15_1bin_PSB_sum;d_57_15_1bin_PSB - Principal serviço/atividade;
d_57_15_1bin_Cadastramento_sum;d_57_15_1bin_Cadastramento - Principal serviço/atividade;
d_57_15_1bin_Beneficios_sum;d_57_15_1bin_Beneficios - Principal serviço/atividade;
d_57_15_1bin_PCF_sum;d_57_15_1bin_PCF- Principal serviço/atividade;
d_57_15_1bin_Outros_sum;d_57_15_1bin_Outros - Principal serviço/atividade;
d_57_16_2bin_Gestão_sum;d_57_16_2bin_Gestão - Segundo principal serviço/atividade;
d_57_16_2bin_PAIF_sum;d_57_16_2bin_PAIF -Segundo principal serviço/atividade;
d_57_16_2bin_SCFV_sum;d_57_16_2bin_SCFV - Segundo principal serviço/atividade;
d_57_16_2bin_PSB_sum;d_57_16_2bin_PSB - Segundo principal  serviço/atividade;
d_57_16_2bin_Cadastramento_sum;d_57_16_2bin_Cadastramento - Segundo principal  serviço/atividade;
d_57_16_2bin_Beneficios_sum;d_57_16_2bin_Beneficios - Segundo principal serviço/atividade;
d_57_16_2bin_PCF_sum;d_57_16_2bin_PCF- Segundo principal  serviço/atividade;
d_57_16_2bin_Outros_sum;d_57_16_2bin_Outros - Segundo principal  serviço/atividade;
d_57_17_3bin_Gestão_sum;d_57_17_3bin_Gestão - Terceiro principal serviço/atividade;
d_57_17_3bin_PAIF_sum;d_57_17_3bin_PAIF -Terceiro principal serviço/atividade;
d_57_17_3bin_SCFV_sum;d_57_17_3bin_SCFV - Terceiro principal serviço/atividade;
d_57_17_3bin_PSB_sum;d_57_17_3bin_PSB - Terceiro principal  serviço/atividade;
d_57_17_3bin_Cadastramento_sum;d_57_17_3bin_Cadastramento - Terceiro principal  serviço/atividade;
